query_index	target_index	pair_id	raw_sw_score	aligned_pairs	coverage_query	coverage_target	coverage_mean	identity	rmsd	tm_score_query	tm_score_target	lddt	lddt_byA	lddt_byB	lddt_aln	coverage_byA	coverage_byB	ecs	fasta_path	pdb_path
0	1	0001_1HBS_A_model1__0002_1IGY_A_model1	52.4555	127	0.900709	0.596244	0.717514	0.0551181	19.9189	0.0817826	0.0748444	0.135685	0.165293	0.106078	0.18796	0.879405	0.428301	NA	demo/results/all-vs-all-mpnn/alignments/0001_1HBS_A_model1__0002_1IGY_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0001_1HBS_A_model1__0002_1IGY_A_model1.pdb
0	2	0001_1HBS_A_model1__0003_1MBA_A_model1	257.373	138	0.978723	0.945205	0.961672	0.188406	2.46381	0.786367	0.764081	0.649859	0.662221	0.637496	0.678903	0.975428	0.927922	NA	demo/results/all-vs-all-mpnn/alignments/0001_1HBS_A_model1__0003_1MBA_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0001_1HBS_A_model1__0003_1MBA_A_model1.pdb
0	3	0001_1HBS_A_model1__0004_1MBO_A_model1	288.981	141	1	0.921569	0.959184	0.269504	1.60366	0.897705	0.833501	0.758461	0.796072	0.720849	0.796072	1	0.900266	NA	demo/results/all-vs-all-mpnn/alignments/0001_1HBS_A_model1__0004_1MBO_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0001_1HBS_A_model1__0004_1MBO_A_model1.pdb
0	4	0001_1HBS_A_model1__0005_1MYT_A_model1	268.755	135	0.957447	0.924658	0.940767	0.266667	1.88535	0.842134	0.816294	0.695651	0.707323	0.68398	0.752839	0.939541	0.906758	NA	demo/results/all-vs-all-mpnn/alignments/0001_1HBS_A_model1__0005_1MYT_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0001_1HBS_A_model1__0005_1MYT_A_model1.pdb
0	5	0001_1HBS_A_model1__0006_1REX_A_model1	48.5096	106	0.751773	0.815385	0.782288	0.0660377	14.6562	0.108224	0.109996	0.205484	0.199725	0.211244	0.330348	0.604591	0.716865	NA	demo/results/all-vs-all-mpnn/alignments/0001_1HBS_A_model1__0006_1REX_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0001_1HBS_A_model1__0006_1REX_A_model1.pdb
0	6	0001_1HBS_A_model1__0007_1RNH_A_model1	48.6579	113	0.801418	0.748344	0.773973	0.0707965	15.3563	0.122113	0.120225	0.187404	0.197462	0.177346	0.30691	0.643388	0.598684	NA	demo/results/all-vs-all-mpnn/alignments/0001_1HBS_A_model1__0007_1RNH_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0001_1HBS_A_model1__0007_1RNH_A_model1.pdb
0	7	0001_1HBS_A_model1__0008_2LYZ_A_model1	46.03	108	0.765957	0.837209	0.8	0.0925926	15.1046	0.0942387	0.095696	0.213065	0.20797	0.21816	0.338375	0.614614	0.748315	NA	demo/results/all-vs-all-mpnn/alignments/0001_1HBS_A_model1__0008_2LYZ_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0001_1HBS_A_model1__0008_2LYZ_A_model1.pdb
0	8	0001_1HBS_A_model1__0009_2NRL_A_model1	266.353	135	0.957447	0.931034	0.944056	0.274074	1.97821	0.834624	0.814116	0.68677	0.694229	0.679312	0.738902	0.939541	0.914546	NA	demo/results/all-vs-all-mpnn/alignments/0001_1HBS_A_model1__0009_2NRL_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0001_1HBS_A_model1__0009_2NRL_A_model1.pdb
1	2	0002_1IGY_A_model1__0003_1MBA_A_model1	53.462	129	0.605634	0.883562	0.718663	0.0697674	20.5946	0.0806004	0.0904132	0.122579	0.0990447	0.146114	0.23091	0.428931	0.829521	NA	demo/results/all-vs-all-mpnn/alignments/0002_1IGY_A_model1__0003_1MBA_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0002_1IGY_A_model1__0003_1MBA_A_model1.pdb
1	3	0002_1IGY_A_model1__0004_1MBO_A_model1	49.9438	137	0.643192	0.895425	0.748634	0.0291971	21.6331	0.0577733	0.0601325	0.150302	0.123924	0.176679	0.26374	0.469872	0.851139	NA	demo/results/all-vs-all-mpnn/alignments/0002_1IGY_A_model1__0004_1MBO_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0002_1IGY_A_model1__0004_1MBO_A_model1.pdb
1	4	0002_1IGY_A_model1__0005_1MYT_A_model1	45.6823	137	0.643192	0.938356	0.763231	0.0510949	20.5035	0.0757867	0.0814882	0.152952	0.121142	0.184762	0.246371	0.491707	0.891427	NA	demo/results/all-vs-all-mpnn/alignments/0002_1IGY_A_model1__0005_1MYT_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0002_1IGY_A_model1__0005_1MYT_A_model1.pdb
1	5	0002_1IGY_A_model1__0006_1REX_A_model1	43.2386	111	0.521127	0.853846	0.64723	0.0720721	17.9124	0.0714551	0.0785295	0.137699	0.104871	0.170528	0.241772	0.43376	0.710733	NA	demo/results/all-vs-all-mpnn/alignments/0002_1IGY_A_model1__0006_1REX_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0002_1IGY_A_model1__0006_1REX_A_model1.pdb
1	6	0002_1IGY_A_model1__0007_1RNH_A_model1	81.6509	142	0.666667	0.940397	0.78022	0.056338	24.4906	0.0729423	0.0781978	0.158572	0.134579	0.182566	0.275936	0.487718	0.91476	NA	demo/results/all-vs-all-mpnn/alignments/0002_1IGY_A_model1__0007_1RNH_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0002_1IGY_A_model1__0007_1RNH_A_model1.pdb
1	7	0002_1IGY_A_model1__0008_2LYZ_A_model1	39.0975	104	0.488263	0.806202	0.608187	0.0961538	16.5989	0.0791656	0.087944	0.136684	0.103979	0.16939	0.288776	0.360067	0.717992	NA	demo/results/all-vs-all-mpnn/alignments/0002_1IGY_A_model1__0008_2LYZ_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0002_1IGY_A_model1__0008_2LYZ_A_model1.pdb
1	8	0002_1IGY_A_model1__0009_2NRL_A_model1	44.8271	135	0.633803	0.931034	0.75419	0.0666667	21.7938	0.056154	0.0587919	0.142049	0.112797	0.171301	0.251757	0.448037	0.897581	NA	demo/results/all-vs-all-mpnn/alignments/0002_1IGY_A_model1__0009_2NRL_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0002_1IGY_A_model1__0009_2NRL_A_model1.pdb
