query_index	target_index	pair_id	raw_sw_score	aligned_pairs	coverage_query	coverage_target	coverage_mean	identity	rmsd	tm_score_query	tm_score_target	lddt	lddt_byA	lddt_byB	lddt_aln	coverage_byA	coverage_byB	ecs	fasta_path	pdb_path
0	1	1HBS__1IGY	102.218	82	0.58156	0.384977	0.463277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0001_1HBS_A_model1__0002_1IGY_A_model1.fasta	
0	2	1HBS__1MBA	119.856	128	0.907801	0.876712	0.891986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0001_1HBS_A_model1__0003_1MBA_A_model1.fasta	
0	3	1HBS__1MBO	147.535	131	0.929078	0.856209	0.891156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0001_1HBS_A_model1__0004_1MBO_A_model1.fasta	
0	4	1HBS__1MYT	100.16	103	0.730496	0.705479	0.71777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0001_1HBS_A_model1__0005_1MYT_A_model1.fasta	
0	5	1HBS__1REX	82.8451	66	0.468085	0.507692	0.487085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0001_1HBS_A_model1__0006_1REX_A_model1.fasta	
0	6	1HBS__1RNH	91.7525	82	0.58156	0.554054	0.567474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0001_1HBS_A_model1__0007_1RNH_A_model1.fasta	
0	7	1HBS__2LYZ	74.6549	63	0.446809	0.488372	0.466667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0001_1HBS_A_model1__0008_2LYZ_A_model1.fasta	
0	8	1HBS__2NRL	96.1847	103	0.730496	0.710345	0.72028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0001_1HBS_A_model1__0009_2NRL_A_model1.fasta	
1	2	1IGY__1MBA	115.335	82	0.384977	0.561644	0.456825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0002_1IGY_A_model1__0003_1MBA_A_model1.fasta	
1	3	1IGY__1MBO	145.457	110	0.516432	0.718954	0.601093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0002_1IGY_A_model1__0004_1MBO_A_model1.fasta	
1	4	1IGY__1MYT	106.862	83	0.389671	0.568493	0.462396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0002_1IGY_A_model1__0005_1MYT_A_model1.fasta	
1	5	1IGY__1REX	116.055	82	0.384977	0.630769	0.478134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0002_1IGY_A_model1__0006_1REX_A_model1.fasta	
1	6	1IGY__1RNH	131.203	82	0.384977	0.554054	0.454294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0002_1IGY_A_model1__0007_1RNH_A_model1.fasta	
1	7	1IGY__2LYZ	173.728	92	0.431925	0.713178	0.538012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0002_1IGY_A_model1__0008_2LYZ_A_model1.fasta	
1	8	1IGY__2NRL	102.859	78	0.366197	0.537931	0.435754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0002_1IGY_A_model1__0009_2NRL_A_model1.fasta	
2	3	1MBA__1MBO	141.304	119	0.815068	0.777778	0.795987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0003_1MBA_A_model1__0004_1MBO_A_model1.fasta	
2	4	1MBA__1MYT	101.861	122	0.835616	0.835616	0.835616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0003_1MBA_A_model1__0005_1MYT_A_model1.fasta	
2	5	1MBA__1REX	93.6632	88	0.60274	0.676923	0.637681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0003_1MBA_A_model1__0006_1REX_A_model1.fasta	
2	6	1MBA__1RNH	91.5851	77	0.527397	0.52027	0.52381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0003_1MBA_A_model1__0007_1RNH_A_model1.fasta	
2	7	1MBA__2LYZ	87.9584	77	0.527397	0.596899	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0003_1MBA_A_model1__0008_2LYZ_A_model1.fasta	
2	8	1MBA__2NRL	97.4493	96	0.657534	0.662069	0.659794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0003_1MBA_A_model1__0009_2NRL_A_model1.fasta	
3	4	1MBO__1MYT	148.845	127	0.830065	0.869863	0.849498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0004_1MBO_A_model1__0005_1MYT_A_model1.fasta	
3	5	1MBO__1REX	100.884	83	0.542484	0.638462	0.586572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0004_1MBO_A_model1__0006_1REX_A_model1.fasta	
3	6	1MBO__1RNH	115.571	93	0.607843	0.628378	0.61794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0004_1MBO_A_model1__0007_1RNH_A_model1.fasta	
3	7	1MBO__2LYZ	90.9574	71	0.464052	0.550388	0.503546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0004_1MBO_A_model1__0008_2LYZ_A_model1.fasta	
3	8	1MBO__2NRL	139.464	125	0.816993	0.862069	0.838926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0004_1MBO_A_model1__0009_2NRL_A_model1.fasta	
4	5	1MYT__1REX	75.7465	45	0.308219	0.346154	0.326087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0005_1MYT_A_model1__0006_1REX_A_model1.fasta	
4	6	1MYT__1RNH	85.5162	89	0.609589	0.601351	0.605442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0005_1MYT_A_model1__0007_1RNH_A_model1.fasta	
4	7	1MYT__2LYZ	72.6914	50	0.342466	0.387597	0.363636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0005_1MYT_A_model1__0008_2LYZ_A_model1.fasta	
4	8	1MYT__2NRL	189.371	145	0.993151	1	0.996564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0005_1MYT_A_model1__0009_2NRL_A_model1.fasta	
5	6	1REX__1RNH	113.471	96	0.738462	0.648649	0.690647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0006_1REX_A_model1__0007_1RNH_A_model1.fasta	
5	7	1REX__2LYZ	352.947	129	0.992308	1	0.996139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	demo/results/all-vs-all-esm2/alignments/0006_1REX_A_model1__0008_2LYZ_A_model1.fasta	
